Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.3598146849558057,0.1,0.3598146849558057,0.20436981294360615,0.34,0.5,-0.01981285,0,0,2.318350315093994,2.3183529376983643,0,0,0,0,0
50,0.5196442501721323,0.08,0.5196442501721323,0.5667096752658469,0.16,0.5,0.14260288,2.5722701127782055,1.265250383804174,1.3070196916612142,2.889882970331883,1.3908817729191392,1.4990011832196353,2000,15.986133575439453,18.304492712020874
50,0.5661393822726491,0.0,0.5661393822726491,0.5140775732392097,0.04,0.12,0.29256755,2.5335086800068582,1.239795868570876,1.2937128537200384,2.9414668892718825,1.4201585420713059,1.521308390421675,4000,32.13755440711975,50.4420530796051
50,0.2672146219407523,0.16,0.2672146219407523,0.2161409608358849,0.06,0.2,0.096533805,2.5332173182374587,1.2332199286305725,1.2999974280139455,2.906913945089061,1.4081145909295236,1.4987993362866623,6000,32.84178447723389,83.28384208679199
50,0.3292829120893728,0.22,0.3292829120893728,0.2110199317939589,0.14,0.18,0.22669342,2.5180967987710283,1.2232811892496933,1.2948156031770464,2.8817047739303048,1.3896883559505315,1.4920163910959,8000,32.112687826156616,115.39653468132019
50,0.19975610831757462,0.3,0.19975610831757462,0.14510131864361803,0.22,0.34,0.03153004,2.5037571494254083,1.2108625517919775,1.2928945746380314,2.842330793640218,1.3753436566596289,1.46698713015821,10000,32.474361181259155,147.87090063095093
50,0.23757848458100878,0.24,0.23757848458100878,0.1976270286001669,0.16,0.24,0.11161715,2.4567338080909233,1.183195634733939,1.2735381333766091,2.7756216548695183,1.3235307019255607,1.452090982461454,12000,30.413662433624268,178.28456854820251
50,0.24284738127920139,0.28,0.24284738127920139,0.17929403420340198,0.16,0.28,0.16869488,2.4036043643823377,1.1573182929350265,1.2462860619024951,2.7400517856175184,1.2991838894260042,1.4408679313925925,14000,32.27686524391174,210.56143808364868
50,0.21831831806350313,0.36,0.21831831806350313,0.10878915610221965,0.04,0.16,0.15273668,2.3460709934222908,1.1287391869718135,1.2173318159058812,2.676490102959054,1.250678070079766,1.425812055832114,16000,32.768423557281494,243.32986640930176
50,0.12438389370977665,0.5,0.12438389370977665,0.07746587563483787,0.16,0.36,0.03286311,2.2697709819049265,1.0879546781341156,1.1818163383873854,2.667877837814308,1.2507895350187872,1.4170883069240225,18000,32.10471773147583,275.43458914756775
50,0.14451775041913528,0.48,0.14451775041913528,0.08525358083133151,0.08,0.22,0.03233477,2.2319929479032354,1.063874177784009,1.1681187146606105,2.607705218227423,1.2231876465921532,1.3845175874927518,20000,32.32078266143799,307.7553770542145
50,0.163702611446328,0.38,0.163702611446328,0.10365472795747088,0.18,0.42,0.07651174,2.1845711785930604,1.0347276863285484,1.1498435198216281,2.5963031952041646,1.2103009478017572,1.3860022328298767,22000,35.162314653396606,342.91769671440125
50,0.13256340980979714,0.52,0.13256340980979714,0.07646143490149088,0.18,0.48,0.0577711,2.143425813040328,1.014288100363536,1.1291376872350931,2.4971163423318123,1.1749341524276355,1.3221821856763427,24000,34.27572298049927,377.1934247016907
50,0.18927232226429574,0.34,0.18927232226429574,0.11085430100354973,0.12,0.26,0.10570592,2.131343315746461,1.0046010473892346,1.126742303577081,2.4606099231070417,1.1494118951714136,1.3111979971049972,26000,33.91504645347595,411.1084761619568
50,0.12454578806729825,0.46,0.12454578806729825,0.08369966448634111,0.36,0.5,0.008203916,2.065618156403703,0.9757293013598255,1.0898888507878282,2.391331254905622,1.1038639009436346,1.2874673649587263,28000,33.6249315738678,444.73341250419617
50,0.1115108205305086,0.52,0.1115108205305086,0.07908740167420104,0.22,0.42,0.011853232,2.0736804379574787,0.9750148239653487,1.0986656147614202,2.374800220022115,1.092791235239824,1.2820090081338624,30000,36.15679430961609,480.890212059021
50,0.12144158035315025,0.54,0.12144158035315025,0.07123029130205909,0.26,0.42,0.0077589303,2.0502343254553868,0.9613361599120851,1.0888981551366412,2.332512726591526,1.082252105545624,1.2502606018447822,32000,36.17534327507019,517.0655612945557
50,0.16297228506789888,0.46,0.16297228506789888,0.0907497550247601,0.12,0.28,0.07977887,2.018129650458098,0.9499682283361449,1.068161430703574,2.2895100402646906,1.0536077195876947,1.2359023404611944,34000,33.16416382789612,550.2297296524048
50,0.1481585276053509,0.42,0.1481585276053509,0.09441341594854252,0.22,0.52,0.024140261,2.015696505274745,0.9425436550836577,1.0731528730447308,2.2509862984112217,1.0354247419387248,1.2155615971342066,36000,33.85791778564453,584.0876536369324
50,0.15604889546787265,0.54,0.15604889546787265,0.0736453409592741,0.2,0.34,0.034404043,1.9676820827074586,0.916974795626661,1.0507072491629352,2.26824460087972,1.0422634685063272,1.2259811035268025,38000,36.41715598106384,620.5048153400421
50,0.1556446535905375,0.58,0.1556446535905375,0.06309224640919546,0.2,0.44,0.028828848,1.9345860288236756,0.9048290683551249,1.0297569519458227,2.2548672612097422,1.0372643521832212,1.2176029581387207,40000,37.285916566848755,657.7907371520996
50,0.1486582888064373,0.52,0.1486582888064373,0.07692827658140146,0.32,0.52,0.027186537,1.9733870400148432,0.9138375275444847,1.0595495033162732,2.2168512344554183,1.013118600092732,1.203732608242856,42000,33.152169942855835,690.9429128170013
50,0.12457691491014385,0.52,0.12457691491014385,0.07516722225016068,0.16,0.44,0.052358214,1.9588997191032718,0.9178689570172952,1.0410307303864244,2.220251834021193,1.016129811473178,1.2041220094041893,44000,33.329097747802734,724.2720205783844
50,0.11329475494214611,0.56,0.11329475494214611,0.0680397668048429,0.2,0.44,0.043174762,1.8974157964376108,0.8790609582602532,1.0183548805227576,2.2088502514862904,1.0157084698079653,1.1931417745639592,46000,33.55253005027771,757.8245568275452
50,0.11456536230461639,0.52,0.11456536230461639,0.06854983813300639,0.2,0.48,0.023748748,1.918349087263039,0.8904860018732206,1.027863110765964,2.199597184624737,1.0031864410647788,1.196410760911854,48000,34.254904985427856,792.0794672966003
50,0.12284882210079372,0.6,0.12284882210079372,0.0627342607867541,0.24,0.52,0.001405679,1.8907607217629114,0.8758336701964191,1.0149270534796622,2.2169916120574955,1.0168755024432214,1.2001160459888789,50000,34.293209075927734,826.3726823329926
50,0.14338347508207538,0.5,0.14338347508207538,0.08735422958256821,0.18,0.5,0.03330958,1.8793698372572583,0.8687267307465889,1.0106431130895979,2.1475183445209285,0.9787907146078834,1.1687276504741844,52000,33.54845428466797,859.9211423397064
50,0.17785494492341175,0.48,0.17785494492341175,0.08331388472143032,0.14,0.3,0.103896596,1.8672727789528623,0.8585862844369435,1.0086864897277195,2.2030342537151117,0.9996532301918503,1.2033810486816106,54000,33.962135314941406,893.8832876682281
50,0.12454526518975023,0.66,0.12454526518975023,0.06313581885509705,0.18,0.46,0.037311647,1.8767283314922134,0.8628579370185187,1.0138704060881716,2.1448122196493924,0.9701318070753333,1.1746804042751064,56000,32.62866687774658,926.511960029602
50,0.21433827291753332,0.34,0.21433827291753332,0.12199091965977213,0.18,0.36,0.069031775,1.8655039410842693,0.8568569120238269,1.0086470354941128,2.115112951339298,0.955570500462315,1.1595424507857448,58000,33.95046091079712,960.4624257087708
50,0.12966686193768015,0.5,0.12966686193768015,0.08030715354019322,0.14,0.44,0.038797162,1.8852636241970793,0.8707696184255064,1.0144940161267637,2.126223638071314,0.9631057963359354,1.1631178334975611,60000,33.987675189971924,994.4501061439514
50,0.19745193195114752,0.52,0.19745193195114752,0.07750154526037892,0.32,0.52,0.05720283,1.8800366770214738,0.8657419977663333,1.014294673148564,2.075511705156725,0.9403050009414273,1.1352067021355332,62000,33.504570960998535,1027.9546823501587
50,0.14279560919332837,0.64,0.14279560919332837,0.06324663331770276,0.28,0.46,0.054953013,1.8428977839529452,0.8460048234540676,0.9968929726411603,2.116767116816166,0.9586214742881629,1.1581456533859311,64000,34.186094999313354,1062.1407825946808
50,0.09726306771558052,0.64,0.09726306771558052,0.05831800664691235,0.28,0.48,0.007829232,1.8214798079459338,0.8298056496043535,0.9916741480558598,2.0776596840503836,0.9379286752931235,1.1397309254822892,66000,33.10438394546509,1095.2451725006104
50,0.10010764302048739,0.74,0.10010764302048739,0.05289771809516796,0.22,0.52,0.008732778,1.7953849209421948,0.8199552877711791,0.9754296140327712,2.062585527212261,0.9386268379403448,1.1239587330898793,68000,33.918848514556885,1129.164026260376
